case_id,optimal_n_eta,optimal_sigma,max_D_sum
Bumper1_dp3_vp381,0.7307146073028715,1.7149048222981058,0.0
Bumper1_dp4_vp381,0.3286204635959039,3.6925253464610903,0.0
Bumper1_dp3_vp453,0.12262122584143259,1.814083049899088,0.0
Bumper1_dp5_vp453,0.3840976894090967,3.4797401265805767,0.0
Bumper1_dp4_vp453,0.23288932063676326,0.8174072559674368,0.0
Bumper1_dp5_vp381,0.8040715327184518,4.939816724398588,0.0
Bumper1_dp5_vp570,0.6024835612193636,3.450113139880054,0.0
Bumper1_dp5_vp515,0.39338995124543624,1.043607846951009,0.0
Bumper2_dp3_vp381,0.6986824923005914,4.763976730494738,0.0
Bumper2_dp5_vp381,0.6244224135302973,4.107097382452091,0.0
Bumper2_dp3_vp453,0.7397839929183615,1.5613226879750106,0.0
Bumper2_dp3_vp641,0.7272724189565458,4.675531344463359,0.0
Bumper2_dp5_vp453,0.43239414819584276,1.9961531090195122,0.0
Bumper2_dp4_vp381,0.5751651575526409,4.949198352986993,0.0
Bumper2_dp4_vp612,0.5642730362878245,1.2062403025025685,0.0
Bumper2_dp4_vp453,0.7030413189744209,0.771825190271028,0.0
Bumper2_dp5_vp515,0.3727097881991756,3.0562426506774574,0.0
Bumper2_dp5_vp570,0.8846699224241334,2.6295976246321873,0.0
